x,y,LOCAL_YEAR,LOCAL_MONTH,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,LOCAL_DAY,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,ID,TOTAL_SNOW,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,MAX_TEMPERATURE_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE,TOTAL_RAIN,MEAN_TEMPERATURE
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,1.5,1,,,,20.8,,701S001.2020.1.1,,-0.7,,,QC,,,78,95,701S001,,2020-01-01 00:00:00,,20,-4.9,,-2.8
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,25,,,0,,,0.7,2,,,32,19.3,,701S001.2020.1.2,,-0.2,,,QC,,,64,93,701S001,,2020-01-02 00:00:00,,19,-2.4,,-1.3
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,25,,,0,,,0.2,3,,,33,17.5,,701S001.2020.1.3,,2.4,,,QC,,,86,95,701S001,,2020-01-03 00:00:00,,18,-1.3,,0.5
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,1,4,,,,18.8,,701S001.2020.1.4,,1.4,,,QC,,,63,95,701S001,,2020-01-04 00:00:00,,14,-3.1,,-0.8
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,32,,,0,,,0.8,5,,,36,26.7,,701S001.2020.1.5,,-3.1,,,QC,,,55,93,701S001,,2020-01-05 00:00:00,,15,-14.3,,-8.7
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,2.2,6,,,,30.4,,701S001.2020.1.6,,-8.4,,,QC,,,66,89,701S001,,2020-01-06 00:00:00,,16,-16.4,,-12.4
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.2,7,,,,26.6,,701S001.2020.1.7,,-5.2,,,QC,,,59,90,701S001,,2020-01-07 00:00:00,,17,-12.1,,-8.6
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,28,,,0,,,1.5,8,,,36,25.1,,701S001.2020.1.8,,-2.8,,,QC,,,57,91,701S001,,2020-01-08 00:00:00,,18,-11.3,,-7.1
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,24,,,0,,,0,9,,,35,31.6,,701S001.2020.1.9,,-10.5,,,QC,,,53,68,701S001,,2020-01-09 00:00:00,,19,-16.7,,-13.6
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.4,10,,,,24,,701S001.2020.1.10,,1.2,,,QC,,,61,97,701S001,,2020-01-10 00:00:00,,18,-13.1,,-6
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,39.8,11,,,,19,,701S001.2020.1.11,,1.6,,,QC,,,92,99,701S001,,2020-01-11 00:00:00,,17,-3.6,,-1
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,5,,,0,,,19.7,12,,,65,25.2,,701S001.2020.1.12,,-3.6,,,QC,,,64,90,701S001,,2020-01-12 00:00:00,,30,-10.8,,-7.2
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,8,,,0,,,1.4,13,,,35,30.9,,701S001.2020.1.13,,-9,,,QC,,,70,89,701S001,,2020-01-13 00:00:00,,35,-16.8,,-12.9
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,1.5,14,,,,32.1,,701S001.2020.1.14,,-7.8,,,QC,,,71,89,701S001,,2020-01-14 00:00:00,,36,-20.3,,-14.1
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,26,,,0,,,2.5,15,,,34,24.7,,701S001.2020.1.15,,-2.8,,,QC,,,80,94,701S001,,2020-01-15 00:00:00,,41,-10.5,,-6.7
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,34,,,0,,,0.8,16,,,38,28.6,,701S001.2020.1.16,,-2.7,,,QC,,,55,94,701S001,,2020-01-16 00:00:00,,39,-18.5,,-10.6
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,33,,,0,,,0.1,17,,,44,38.2,,701S001.2020.1.17,,-15.8,,,QC,,,47,70,701S001,,2020-01-17 00:00:00,,37,-24.5,,-20.2
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,5,,,0,,,1.7,18,,,45,38.2,,701S001.2020.1.18,,-13.1,,,QC,,,62,84,701S001,,2020-01-18 00:00:00,,37,-27.3,,-20.2
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,7,,,0,,,2.7,19,,,46,32,,701S001.2020.1.19,,-9.5,,,QC,,,66,86,701S001,,2020-01-19 00:00:00,,45,-18.6,,-14
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,26,,,0,,,0,20,,,35,34.1,,701S001.2020.1.20,,-12.6,,,QC,,,57,76,701S001,,2020-01-20 00:00:00,,45,-19.7,,-16.1
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.5,21,,,,35.9,,701S001.2020.1.21,,-11.9,,,QC,,,56,86,701S001,,2020-01-21 00:00:00,,38,-23.9,,-17.9
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.4,22,,,,24.9,,701S001.2020.1.22,,-1.9,,,QC,,,77,94,701S001,,2020-01-22 00:00:00,,40,-12,,-6.9
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,25,,,0,,,2.4,23,,,33,20.9,,701S001.2020.1.23,,0.5,,,QC,,,64,92,701S001,,2020-01-23 00:00:00,,42,-6.4,,-2.9
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,8,,,0,,,0,24,,,32,21.7,,701S001.2020.1.24,,-2,,,QC,,,71,88,701S001,,2020-01-24 00:00:00,,43,-5.5,,-3.7
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,7,,,0,,,8.4,25,,,34,20.6,,701S001.2020.1.25,,-0.2,,,QC,,,76,96,701S001,,2020-01-25 00:00:00,,40,-5,,-2.6
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,6,,,0,,,6.7,26,,,41,19,,701S001.2020.1.26,,0,,,QC,,,92,97,701S001,,2020-01-26 00:00:00,,46,-2,,-1
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.2,27,,,,19.3,,701S001.2020.1.27,,1.3,,,QC,,,73,96,701S001,,2020-01-27 00:00:00,,49,-3.9,,-1.3
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,28,,,,27.8,,701S001.2020.1.28,,-2,,,QC,,,81,93,701S001,,2020-01-28 00:00:00,,47,-17.6,,-9.8
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,31,,,0,,,0,29,,,32,30.3,,701S001.2020.1.29,,-6.7,,,QC,,,47,83,701S001,,2020-01-29 00:00:00,,47,-17.9,,-12.3
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,30,,,,34.9,,701S001.2020.1.30,,-8.7,,,QC,,,53,88,701S001,,2020-01-30 00:00:00,,46,-25,,-16.9
-71.38166666666666,46.80361111111111,2020,1,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,31,,,,33,,701S001.2020.1.31,,-5.2,,,QC,,,56,88,701S001,,2020-01-31 00:00:00,,46,-24.8,,-15
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0.9,1,,,,25.3,,701S001.2020.2.1,,-3.6,,,QC,,,73,93,701S001,,2020-02-01 00:00:00,,47,-11,,-7.3
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,2,,,,25.2,,701S001.2020.2.2,,-2.7,,,QC,,,73,93,701S001,,2020-02-02 00:00:00,,47,-11.7,,-7.2
